dataset,classifier,accuracy,elapsed_time
HouseTwenty,Rocket,0.9664,22.77
ACSF1,Rocket,0.89,21.0
ACSF1,Catch22,0.84,20.51
HouseTwenty,Catch22,0.958,0.82
PigAirwayPressure,Rocket,0.3942,46.53
PigAirwayPressure,Catch22,0.4856,1.24
CinCECGTorso,Rocket,0.8304,163.65
CinCECGTorso,Catch22,0.7986,4.62
EOGHorizontalSignal,Rocket,0.6381,63.6
EOGHorizontalSignal,Catch22,0.5525,1.91
EOGVerticalSignal,Rocket,0.5414,63.52
EOGVerticalSignal,Catch22,0.4751,1.94
EthanolLevel,Rocket,0.592,124.0
EthanolLevel,Catch22,0.338,2.99
HandOutlines,Rocket,0.9432,263.44
HandOutlines,Catch22,0.8622,7.39
Haptics,Rocket,0.5325,36.45
Haptics,Catch22,0.4805,1.61
InlineSkate,Rocket,0.4709,86.5
InlineSkate,Catch22,0.4582,2.08
Mallat,Rocket,0.9561,173.27
Mallat,Catch22,0.8832,4.22
MixedShapesRegularTrain,Rocket,0.9703,231.99
MixedShapesRegularTrain,Catch22,0.9167,5.97
MixedShapesSmallTrain,Rocket,0.9381,195.72
MixedShapesSmallTrain,Catch22,0.861,4.21
Phoneme,Rocket,0.2769,151.19
Phoneme,Catch22,0.3101,4.31
PigArtPressure,Rocket,0.9615,44.15
PigArtPressure,Catch22,0.9519,1.24
PigCVP,Rocket,0.9327,44.11
PigCVP,Catch22,0.6923,1.32
Rock,Rocket,0.9,14.2
Rock,Catch22,0.7,0.52
SemgHandGenderCh2,Rocket,0.9133,95.04
SemgHandGenderCh2,Catch22,0.925,3.6
SemgHandMovementCh2,Rocket,0.6556,95.13
SemgHandMovementCh2,Catch22,0.8,3.48
SemgHandSubjectCh2,Rocket,0.8822,95.05
SemgHandSubjectCh2,Catch22,0.8467,3.48
StarLightCurves,Rocket,0.9808,661.98
StarLightCurves,Catch22,0.9679,14.66
